effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,Y_i,-1.2601482159323545,0.12169334893876199,-10.355111655004917,44972.000002515335,4.233674921562035e-25
fixed,NA,X_i:Y_i,0.07159987015616755,0.14904330499521581,0.4803964200771437,44972.00000231337,0.6309478760943563
ran_pars,subj_id,sd__(Intercept),2.02576133587959,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.713163137840331,NA,NA,NA,NA
fixed,NA,(Intercept),31.621766955146864,0.4495363504168724,70.34306997826266,24.239384858231524,1.5308319236240842e-29
fixed,NA,X_i,0.8161336125926796,0.047452625939525477,17.198913578202724,44971.999991661825,4.4055773898964473e-66
fixed,NA,Y_i,0.6457293696427399,0.12252215333172846,5.27030705944605,44972.00000084999,1.368225050123667e-7
fixed,NA,X_i:Y_i,1.1085341115033873,0.1500583789248883,7.387352305453493,44972.00000113644,1.5237135590762438e-13
ran_pars,subj_id,sd__(Intercept),2.2393177674525933,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.745262593952558,NA,NA,NA,NA
fixed,NA,(Intercept),31.470044564165313,0.42604975710844534,73.86471659495638,24.25790751160173,4.518661791098207e-30
fixed,NA,X_i,0.45250629123120645,0.04666085722890582,9.69777063913186,44972.00000559938,3.240028457771267e-22
fixed,NA,Y_i,0.7221341744715992,0.1204778153115428,5.993918238011182,44972.000007231494,2.0640017172072882e-9
fixed,NA,X_i:Y_i,-0.04104354975800767,0.14755458641927507,-0.2781584141436497,44972.000007492206,0.7808920350425296
ran_pars,subj_id,sd__(Intercept),2.1217145492074017,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.66608572289058,NA,NA,NA,NA
fixed,NA,(Intercept),31.592460820141543,0.43067276287460465,73.35606879170126,24.24671056951955,5.474169831241915e-30
fixed,NA,X_i,-0.2308215191366304,0.04612963145324539,-5.003758145576757,44972.00000325022,5.643495334654206e-7
fixed,NA,Y_i,-0.7871606897900704,0.11910619625673674,-6.608897895566436,44972.00000227689,3.9150514854519385e-11
fixed,NA,X_i:Y_i,0.4454308326822128,0.14587470301639838,3.0535166377143543,44972.00000229481,0.0022630830340333347
ran_pars,subj_id,sd__(Intercept),2.1451130511099885,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.612963145324534,NA,NA,NA,NA
fixed,NA,(Intercept),32.52952154394715,0.4953243524577043,65.67317230122426,24.19570869517511,8.802143276137552e-29
fixed,NA,X_i,0.4267292212178543,0.04729066266096036,9.023540741587663,44971.99999135334,1.8910463707569616e-19
fixed,NA,Y_i,0.1835302620295728,0.122103965944675,1.503065527885719,44971.99999775827,0.132829168834099
fixed,NA,X_i:Y_i,0.388144741918291,0.14954620606731392,2.5954837111921036,44971.999997625906,0.009448856407272187
ran_pars,subj_id,sd__(Intercept),2.4690852369594656,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.729066266096037,NA,NA,NA,NA
fixed,NA,(Intercept),31.16025808366468,0.401462913535966,77.61677861901212,24.29385005918307,1.257542502023545e-30
fixed,NA,X_i,-0.3128741761926382,0.046904853139364995,-6.670400934057246,44972.000003750014,2.580530477092273e-11
fixed,NA,Y_i,-0.1781755508627594,0.12110781004337702,-1.4712143733665277,44972.00000058572,0.14124014814779104
fixed,NA,X_i:Y_i,-0.2538154432605846,0.14832616923609276,-1.711197994040978,44972.00000099554,0.0870514646185109
ran_pars,subj_id,sd__(Intercept),1.9981601586287459,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.690485313936504,NA,NA,NA,NA
fixed,NA,(Intercept),31.16133849789373,0.45821293411393715,68.0062394095259,24.232904093037526,3.5067949618577204e-29
fixed,NA,X_i,1.1586752831110227,0.047702893919869385,24.289412819636233,44971.99999825073,1.7382099332039655e-129
fixed,NA,Y_i,1.0649220369062018,0.12316834247836869,8.646069399636742,44972.000002495166,5.5029089286882835e-18
fixed,NA,X_i:Y_i,1.514322897614486,0.15084979576818483,10.038614171818894,44972.00000206739,1.0921352517960372e-23
ran_pars,subj_id,sd__(Intercept),2.2827727051532376,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.770289391986934,NA,NA,NA,NA
fixed,NA,(Intercept),31.849655113485962,0.43945494673933655,72.47535919166167,24.258417845365553,7.139994056189426e-30
fixed,NA,X_i,-0.27679940486030574,0.048178896384615644,-5.7452417060489704,44972.00001311875,9.238059471005649e-9
fixed,NA,Y_i,-0.683765511489753,0.12439737555751293,-5.49662328827529,44972.00000213365,3.892300034713564e-8
